mass(GeV) PICO(cm^2)
1.5000000000000004e-05 4.909377890086095e-28
3.871470279597064e-05 6.229287678801025e-28
9.992188083868909e-05 7.922157636788022e-28
0.00025789639463228244 1.0051292886401675e-27
0.0006656254846894113 1.276408791922578e-27
0.0017179661875449637 1.6140545453181363e-27
0.004434036690955329 2.030624370414453e-27
0.011444160845117643 2.5340037079707624e-27
0.029537152391200906 3.1225380420769315e-27
0.07623480508430909 3.822756487516384e-27
0.19676052143651845 4.70367464842574e-27
0.5078350072930014 5.862854439468787e-27
1.3107120917825388 7.165334701574846e-27
3.3829219389630643 8.385096258516454e-27
8.731254496594916 1.1017543026378962e-26
22.535194858110287 1.8615502335882123e-26
58.16289142540168 3.870710954178101e-26
150.1172703525823 9.056716840453309e-26
387.44970041617313 2.242930137185648e-25
1000.0 5.6898759226442145e-25
