mass(GeV) S4(cm^2)
1.5000000000000004e-05 4.748717590301546e-28
3.871470279597064e-05 6.032249732137424e-28
9.992188083868909e-05 7.6566957079728265e-28
0.00025789639463228244 9.720222967887127e-28
0.0006656254846894113 1.2322912693119961e-27
0.0017179661875449637 1.5576759310914091e-27
0.004434036690955329 1.959731134218909e-27
0.011444160845117643 2.444717215678344e-27
0.029537152391200906 3.017833669443355e-27
0.07623480508430909 3.701479775793498e-27
0.19676052143651845 4.5559076143193196e-27
0.5078350072930014 5.683222141913787e-27
1.3107120917825388 6.955056275544786e-27
3.3829219389630643 8.147182879355506e-27
8.731254496594916 1.0711079105453842e-26
22.535194858110287 1.8082276255396874e-26
58.16289142540168 3.7634684199121994e-26
150.1172703525823 8.789965682179161e-26
387.44970041617313 2.1771138493178015e-25
1000.0 5.5165070094208135e-25
