mass(GeV) SO(cm^2)
1.5000000000000004e-05 1.5172053354218605e-27
3.871470279597064e-05 1.9370426893353443e-27
9.992188083868909e-05 2.4734810889883398e-27
0.00025789639463228244 3.1576096397763342e-27
0.0006656254846894113 4.014453999839041e-27
0.0017179661875449637 5.0902513187976915e-27
0.004434036690955329 6.400700400238588e-27
0.011444160845117643 7.957671806247527e-27
0.029537152391200906 9.757928621354998e-27
0.07623480508430909 1.1848806985183501e-26
0.19676052143651845 1.4417160382974248e-26
0.5078350072930014 1.7818897472726722e-26
1.3107120917825388 2.1637779660464507e-26
3.3829219389630643 2.5147124178585355e-26
8.731254496594916 3.2951794992859616e-26
22.535194858110287 5.574075352076121e-26
58.16289142540168 1.16508038316344e-25
150.1172703525823 2.736500615715848e-25
387.44970041617313 6.782647050100018e-25
1000.0 1.721583899136239e-24
